Part_ID,Group,School,Grade,Age,Use,Use_School,Exposure_Score,Exposure_Group,Exposure_Binary,DELE,BESA_Other,BESA_Subj,AoA_ENG,AoA_SPA,Langs,Age_Arrival,Task,Item,Verb,Short_Prop,Property,Structure,Mood_Use,Mood_Freq,DOM_Use,Agr_Use,Comp_Use,Prod_Code,Davies,CORPES,WordList,Davies_Centered,Davies_Centered_Std
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-08,peinar,Intensional,Intensional subjunctive,Subjunctive,0,0,1,0,,IND,6151,3173,91504,-124599.1,-1.109464919
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-10,nadar,Polarity,Polarity subjunctive,Subjunctive,0,0,,0,,IND,27224,5128,182321,,
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,,1,1,,IND,60260,28864,1318934,,
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-14,pintar,Intensional,Intensional subjunctive,Subjunctive,1,1,,1,,SUBJ,45606,22466,893704,-105306.1,-0.937674734
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,,1,,IND,34174,20774,,,
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-18,mirar,Intensional,Intensional indicative,Indicative,1,1,0,1,,IND,186441,197558,3683993,,
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-20,tratar,Intensional,Intensional subjunctive,Subjunctive,0,0,0,1,,IND,590952,203027,9516595,75254.88,0.670090129
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-22,hablar,Polarity,Polarity subjunctive,Subjunctive,0,0,,1,,IND,464270,255835,8432028,,
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,0,1,,IND,45606,22466,893704,,
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-26,mirar,Intensional,Intensional subjunctive,Subjunctive,0,,0,1,,IND,186441,197558,3683993,69785.88,0.621392647
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-28,jugar,Polarity,Polarity indicative,Indicative,1,1,,1,,PER FUT,216446,102028,,,
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-30,tratar,Intensional,Intensional indicative,Indicative,1,1,0,1,,PER FUT,590952,203027,9516595,,
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-32,llevar,Intensional,Intensional subjunctive,Subjunctive,1,1,0,1,,SUBJ,418316,301022,13841181,173259.9,1.542753636
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-34,bajar,Polarity,Polarity subjunctive,Subjunctive,0,,,1,,IND MODAL,284649,62583,1981927,,
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-36,llamar,Intensional,Intensional indicative,Indicative,1,1,0,1,,IND,303936,207733,8248273,,
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-38,amar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,60260,28864,1318934,-67512.13,-0.601146551
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,,,1,,IND,7583,4193,347240,,
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-42,cuidar,Intensional,Intensional subjunctive,Subjunctive,0,0,1,1,,IND,208160,26928,1534607,-100844.1,-0.897943857
H5B07,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,13,1,,0,2,,EPT,EPT-44,entrar,Polarity,Polarity subjunctive,Subjunctive,0,,,1,,IND,207551,129316,4429528,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-02,llamar,Intensional,Intensional subjunctive,Subjunctive,0,0,1,0,,IND,303936,207733,8248273,79960.88,0.711993649
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-04,cenar,Polarity,Polarity indicative,Indicative,1,1,,1,,IND,16244,9564,,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-06,cuidar,Polarity,Polarity indicative,Indicative,1,1,1,1,,IND,208160,26928,1534607,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-08,peinar,Intensional,Intensional subjunctive,Subjunctive,1,,0,1,,SUBJ MODAL,6151,3173,91504,-124599.1,-1.109464919
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-10,nadar,Polarity,Polarity subjunctive,Subjunctive,0,,,1,,IND MODAL,27224,5128,182321,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,60260,28864,1318934,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-14,pintar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,45606,22466,893704,-105306.1,-0.937674734
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,,1,,IND,34174,20774,,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-18,mirar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,186441,197558,3683993,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-20,tratar,Intensional,Intensional subjunctive,Subjunctive,0,0,1,1,,IND,590952,203027,9516595,75254.88,0.670090129
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-22,hablar,Polarity,Polarity subjunctive,Subjunctive,0,0,,1,,IND,464270,255835,8432028,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,45606,22466,893704,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-26,mirar,Intensional,Intensional subjunctive,Subjunctive,0,0,1,0,,IND,186441,197558,3683993,69785.88,0.621392647
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-28,jugar,Polarity,Polarity indicative,Indicative,1,1,,1,,IND,216446,102028,,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-30,tratar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,590952,203027,9516595,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-32,llevar,Intensional,Intensional subjunctive,Subjunctive,0,0,1,0,,IND,418316,301022,13841181,173259.9,1.542753636
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-34,bajar,Polarity,Polarity subjunctive,Subjunctive,0,0,,1,,IND,284649,62583,1981927,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-36,llamar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,303936,207733,8248273,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-38,amar,Intensional,Intensional subjunctive,Subjunctive,0,0,1,1,,IND,60260,28864,1318934,-67512.13,-0.601146551
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,,1,,IND,7583,4193,347240,,
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-42,cuidar,Intensional,Intensional subjunctive,Subjunctive,0,0,1,1,,IND,208160,26928,1534607,-100844.1,-0.897943857
H5B08,Bilingual HS 5th,GBCS,5,,19,4,0,2 SPA/2 ENG,Bilingual,,6,1,,0,2,,EPT,EPT-44,entrar,Polarity,Polarity subjunctive,Subjunctive,0,0,,1,,IND,207551,129316,4429528,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-02,llamar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,303936,207733,8248273,79960.88,0.711993649
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-04,cenar,Polarity,Polarity indicative,Indicative,1,1,,1,,IND MODAL,16244,9564,,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-06,cuidar,Polarity,Polarity indicative,Indicative,1,,1,0,,FUTURE,208160,26928,1534607,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-08,peinar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,6151,3173,91504,-124599.1,-1.109464919
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-10,nadar,Polarity,Polarity subjunctive,Subjunctive,1,1,,1,,SUBJ,27224,5128,182321,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,60260,28864,1318934,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-14,pintar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,45606,22466,893704,-105306.1,-0.937674734
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,,0,,IND,34174,20774,,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-18,mirar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,186441,197558,3683993,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-20,tratar,Intensional,Intensional subjunctive,Subjunctive,1,1,0,1,,SUBJ,590952,203027,9516595,75254.88,0.670090129
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-22,hablar,Polarity,Polarity subjunctive,Subjunctive,0,0,,1,,FUTURE,464270,255835,8432028,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,0,0,,FUTURE,45606,22466,893704,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-26,mirar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,186441,197558,3683993,69785.88,0.621392647
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-28,jugar,Polarity,Polarity indicative,Indicative,1,1,,1,,FUTURE,216446,102028,,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-30,tratar,Intensional,Intensional indicative,Indicative,,,,,,,590952,203027,9516595,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-32,llevar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,418316,301022,13841181,173259.9,1.542753636
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-34,bajar,Polarity,Polarity subjunctive,Subjunctive,1,1,,1,,SUBJ,284649,62583,1981927,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-36,llamar,Intensional,Intensional indicative,Indicative,0,0,0,1,,SUBJ,303936,207733,8248273,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-38,amar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,60260,28864,1318934,-67512.13,-0.601146551
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,0,0,,1,,SUBJ,7583,4193,347240,,
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-42,cuidar,Intensional,Intensional subjunctive,Subjunctive,1,1,0,1,,SUBJ,208160,26928,1534607,-100844.1,-0.897943857
H5B10,Bilingual HS 5th,GBCS,5,,5,0,1,2 SPA/1 ENG,Bilingual,,7,1,,0,2,,EPT,EPT-44,entrar,Polarity,Polarity subjunctive,Subjunctive,1,1,,1,,SUBJ,207551,129316,4429528,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-02,llamar,Intensional,Intensional subjunctive,Subjunctive,,,1,1,,IND MODAL,303936,207733,8248273,79960.88,0.711993649
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-04,cenar,Polarity,Polarity indicative,Indicative,1,,,1,,IND MODAL,16244,9564,,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-06,cuidar,Polarity,Polarity indicative,Indicative,,,,,,IND,208160,26928,1534607,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-08,peinar,Intensional,Intensional subjunctive,Subjunctive,1,1,,1,,SUBJ,6151,3173,91504,-124599.1,-1.109464919
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-10,nadar,Polarity,Polarity subjunctive,Subjunctive,,,,,,,27224,5128,182321,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,,1,,IND,60260,28864,1318934,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-14,pintar,Intensional,Intensional subjunctive,Subjunctive,,,,1,,IND MODAL,45606,22466,893704,-105306.1,-0.937674734
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,,,1,,IND,34174,20774,,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-18,mirar,Intensional,Intensional indicative,Indicative,1,1,,1,,IND,186441,197558,3683993,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-20,tratar,Intensional,Intensional subjunctive,Subjunctive,,,,,,,590952,203027,9516595,75254.88,0.670090129
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-22,hablar,Polarity,Polarity subjunctive,Subjunctive,,,,,,IND MODAL,464270,255835,8432028,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,,1,,IND,45606,22466,893704,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-26,mirar,Intensional,Intensional subjunctive,Subjunctive,0,0,1,1,,INF,186441,197558,3683993,69785.88,0.621392647
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-28,jugar,Polarity,Polarity indicative,Indicative,1,1,,1,,IND,216446,102028,,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-30,tratar,Intensional,Intensional indicative,Indicative,1,,,1,,IND MODAL,590952,203027,9516595,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-32,llevar,Intensional,Intensional subjunctive,Subjunctive,0,0,,1,,IND,418316,301022,13841181,173259.9,1.542753636
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-34,bajar,Polarity,Polarity subjunctive,Subjunctive,0,0,,1,,MISC,284649,62583,1981927,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-36,llamar,Intensional,Intensional indicative,Indicative,1,,,1,,PER FUT,303936,207733,8248273,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-38,amar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,0,,SUBJ,60260,28864,1318934,-67512.13,-0.601146551
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,,,,,,IND MODAL,7583,4193,347240,,
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-42,cuidar,Intensional,Intensional subjunctive,Subjunctive,,,,,,,208160,26928,1534607,-100844.1,-0.897943857
H5B13,Bilingual HS 5th,GBCS,5,,22,4,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-44,entrar,Polarity,Polarity subjunctive,Subjunctive,,,,,,,207551,129316,4429528,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-02,llamar,Intensional,Intensional subjunctive,Subjunctive,1,,,0,,SUBJ,303936,207733,8248273,79960.88,0.711993649
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-04,cenar,Polarity,Polarity indicative,Indicative,1,1,,1,,IND MODAL,16244,9564,,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-06,cuidar,Polarity,Polarity indicative,Indicative,1,1,1,1,,IND MODAL,208160,26928,1534607,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-08,peinar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,6151,3173,91504,-124599.1,-1.109464919
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-10,nadar,Polarity,Polarity subjunctive,Subjunctive,0,0,,1,,IND,27224,5128,182321,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,60260,28864,1318934,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-14,pintar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,0,,SUBJ,45606,22466,893704,-105306.1,-0.937674734
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-16,bailar,Polarity,Polarity indicative,Indicative,1,1,,1,,IND,34174,20774,,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-18,mirar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,186441,197558,3683993,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-20,tratar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,590952,203027,9516595,75254.88,0.670090129
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-22,hablar,Polarity,Polarity subjunctive,Subjunctive,1,1,,1,,SUBJ,464270,255835,8432028,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-24,pintar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,45606,22466,893704,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-26,mirar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,186441,197558,3683993,69785.88,0.621392647
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-28,jugar,Polarity,Polarity indicative,Indicative,1,1,,1,,IND,216446,102028,,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-30,tratar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,590952,203027,9516595,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-32,llevar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,418316,301022,13841181,173259.9,1.542753636
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-34,bajar,Polarity,Polarity subjunctive,Subjunctive,0,0,,1,,IND,284649,62583,1981927,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-36,llamar,Intensional,Intensional indicative,Indicative,1,1,1,1,,IND,303936,207733,8248273,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-38,amar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,60260,28864,1318934,-67512.13,-0.601146551
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-40,charlar,Polarity,Polarity indicative,Indicative,1,1,,1,,IND,7583,4193,347240,,
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-42,cuidar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,208160,26928,1534607,-100844.1,-0.897943857
H5B16,Bilingual HS 5th,GBCS,5,,21,5,2,2 SPA/0 ENG,Monolingual,,12,4,,0,2,,EPT,EPT-44,entrar,Polarity,Polarity subjunctive,Subjunctive,0,0,,1,,IND,207551,129316,4429528,,
H5B17,Bilingual HS 5th,GBCS,5,,20,5,0,2 SPA/2 ENG,Bilingual,,12,4,,0,2,,EPT,EPT-02,llamar,Intensional,Intensional subjunctive,Subjunctive,1,1,1,1,,SUBJ,303936,207733,8248273,79960.88,0.711993649
H5B17,Bilingual HS 5th,GBCS,5,,20,5,0,2 SPA/2 ENG,Bilingual,,12,4,,0,2,,EPT,EPT-04,cenar,Polarity,Polarity indicative,Indicative,1,,,1,,PER FUT,16244,9564,,,
H5B17,Bilingual HS 5th,GBCS,5,,20,5,0,2 SPA/2 ENG,Bilingual,,12,4,,0,2,,EPT,EPT-06,cuidar,Polarity,Polarity indicative,Indicative,1,,0,0,,IND MODAL,208160,26928,1534607,,
H5B17,Bilingual HS 5th,GBCS,5,,20,5,0,2 SPA/2 ENG,Bilingual,,12,4,,0,2,,EPT,EPT-08,peinar,Intensional,Intensional subjunctive,Subjunctive,1,,0,1,,SUBJ MODAL,6151,3173,91504,-124599.1,-1.109464919
H5B17,Bilingual HS 5th,GBCS,5,,20,5,0,2 SPA/2 ENG,Bilingual,,12,4,,0,2,,EPT,EPT-10,nadar,Polarity,Polarity subjunctive,Subjunctive,1,1,,1,,SUBJ,27224,5128,182321,,
H5B17,Bilingual HS 5th,GBCS,5,,20,5,0,2 SPA/2 ENG,Bilingual,,12,4,,0,2,,EPT,EPT-12,amar,Intensional,Intensional indicative,Indicative,1,1,0,1,,IND,60260,28864,1318934,,
H5B17,Bilingual HS 5th,GBCS,5,,20,5,0,2 SPA/2 ENG,Bilingual,,12,4,,0,2,,EPT,EPT-14,pintar,Intensional,Intensional subjunctive,Subjunctive,1,1,0,1,,SUBJ,45606,22466,893704,-105306.1,-0.937674734
